iter	Passed	Remaining
1103	214812	368917
1104	214814	368393
1105	215496	369033
1106	215538	368577
1107	216244	369254
1108	216246	368730
1109	216914	369340
1110	217587	369956
1111	218295	370631
1112	218378	370243
1113	218738	370323
1114	218740	369798
1115	218746	369282
1116	219461	369960
1117	219463	369437
1118	220140	370048
1119	220820	370662
1120	220822	370139
1121	220824	369614
1122	221501	370220
1123	221582	369829
1124	222262	370437
1125	222283	369945
1126	222285	369424
1127	222973	370040
1128	222998	369556
1129	223691	370179
1130	223772	369787
1131	223952	369561
1132	223956	369043
1133	224643	369652
1134	225026	369756
1135	225029	369237
1136	225744	369887
1137	225749	369372
1138	225751	368853
1139	225756	368339
1140	225799	367889
1141	225803	367375
1142	226563	368090
1143	226741	367861
1144	227453	368493
1145	227455	367978
1146	227689	367837
1147	228410	368480
1148	228413	367966
1149	228418	367455
1150	228461	367006
1151	228466	366497
1152	228642	366264
1153	228654	365768
1154	228657	365257
1155	228738	364873
1156	228744	364369
1157	228746	363860
1158	229542	364614
1159	230223	365181
1160	230925	365781
1161	230932	365278
1162	231607	365831
1163	232275	366372
1164	232979	366967
1165	233665	367532
1166	234345	368085
1167	235015	368620
1168	235018	368108
1169	235021	367597
1170	235023	367085
1171	235100	366692
1172	235106	366189
1173	235774	366715
1174	236419	367205
1175	237071	367703
1176	237713	368182
1177	237715	367671
1178	238040	367659
1179	238042	367150
1180	238672	367607
1181	239299	368058
1182	239337	367603
1183	239982	368081
1184	239984	367571
1185	240615	368023
1186	240617	367514
1187	241267	367993
1188	241269	367485
1189	241897	367927
1190	242530	368378
1191	243167	368830
1192	243817	369302
1193	243820	368793
1194	243860	368341
1195	244486	368773
1196	245095	369178
1197	245713	369595
1198	246343	370028
1199	247036	370554
1200	247342	370499
1201	247345	369989
1202	247348	369481
1203	247350	368971
1204	247959	369367
1205	247961	368857
1206	248584	369273
1207	249206	369684
1208	249513	369626
1209	249515	369118
1210	250139	369528
1211	250740	369903
1212	251043	369838
1213	251195	369551
1214	251801	369930
1215	251821	369447
1216	252433	369834
1217	253050	370226
1218	253052	369718
1219	253660	370094
1220	254292	370504
1221	254907	370888
1222	254917	370391
1223	254991	369987
1224	254996	369484
1225	254998	368977
1226	255613	369358
1227	256220	369725
1228	256834	370101
1229	257445	370470
1230	257599	370181
1231	258205	370541
1232	258207	370035
1233	258209	369528
1234	258211	369022
1235	258230	368542
1236	258232	368039
1237	258538	367968
1238	258693	367683
1239	259301	368040
1240	259320	367562
1241	259953	367954
1242	260125	367691
1243	260431	367618
1244	261056	367995
1245	261663	368344
1246	261971	368273
1247	262598	368648
1248	262908	368577
1249	263214	368500
1250	263820	368842
1251	263823	368341
1252	264441	368699
1253	265059	369054
1254	265131	368648
1255	265136	368151
1256	265726	368465
1257	266329	368796
1258	266917	369104
1259	267508	369416
1260	268104	369733
1261	268704	370053
1262	269332	370412
1263	269931	370728
1264	270249	370658
1265	270250	370154
1266	270839	370454
1267	271446	370777
1268	272059	371107
1269	272646	371400
1270	273222	371676
1271	273787	371937
1272	273788	371432
1273	274379	371726
1274	274681	371628
1275	274683	371124
1276	275277	371420
1277	275864	371704
1278	276010	371395
1279	276604	371687
1280	276606	371183
1281	277215	371494
1282	277260	371049
1283	277853	371337
1284	277873	370857
1285	277875	370356
1286	278466	370639
1287	279036	370893
1288	279628	371174
1289	280213	371446
1290	280802	371721
1291	281401	372007
1292	281978	372264
1293	282276	372151
1294	282859	372412
1295	283551	372817
1296	283552	372313
1297	283556	371813
1298	284146	372081
1299	284148	371579
1300	284735	371840
1301	284737	371339
1302	284739	370838
1303	285349	371129
1304	285351	370629
1305	285353	370129
1306	285505	369824
1307	285819	369729
1308	286488	370093
1309	286834	370038
1310	286911	369636
1311	287549	369956
1312	288215	370311
1313	288836	370606
1314	289472	370920
1315	290118	371246
1316	290121	370747
1317	290757	371057
1318	291388	371360
1319	291697	371251
1320	291772	370844
1321	292378	371113
1322	293011	371414
1323	293644	371712
1324	294323	372069
1325	294970	372383
1326	295618	372697
1327	295621	372198
1328	295937	372093
1329	296292	372036
1330	296926	372328
1331	297553	372611
1332	298188	372903
1333	298204	372420
1334	298815	372679
1335	299419	372930
1336	300029	373185
1337	300031	372685
1338	300643	372941
1339	301247	373187
1340	301877	373463
1341	302490	373717
1342	303099	373965
1343	303710	374214
1344	303712	373712
1345	304315	373950
1346	304925	374195
1347	304927	373694
1348	304929	373194
1349	304967	372738
1350	304971	372241
1351	305272	372107
1352	305878	372343
1353	306027	372024
1354	306656	372288
1355	306733	371880
1356	306811	371475
1357	306891	371071
1358	306898	370581
1359	307523	370836
1360	307529	370345
1361	307530	369849
1362	307532	369354
1363	307552	368882
1364	307555	368390
1365	307874	368277
1366	308181	368149
1367	308787	368377
1368	308789	367885
1369	309397	368115
1370	310019	368360
1371	310022	367868
1372	310327	367736
1373	310330	367246
1374	310939	367474
1375	310942	366984
1376	310962	366515
1377	310965	366027
1378	311119	365717
1379	311729	365942
1380	311731	365455
1381	312341	365679
1382	312947	365897
1383	313556	366117
1384	314172	366345
1385	314173	365856
1386	314175	365367
1387	314782	365583
1388	315404	365814
1389	316035	366055
1390	316651	366277
1391	316725	365872
1392	317032	365736
1393	317135	365365
1394	317765	365601
1395	317772	365119
1396	318382	365330
1397	318981	365527
1398	319288	365389
1399	319362	364985
1400	319369	364504
1401	319372	364020
1402	319522	363704
1403	319526	363222
1404	320137	363429
1405	320139	362946
1406	320756	363158
1407	321370	363368
1408	321373	362884
1409	321981	363085
1410	322290	362948
1411	322924	363175
1412	323541	363383
1413	323842	363234
1414	323844	362751
1415	324472	362969
1416	324475	362487
1417	324478	362005
1418	324554	361607
1419	325173	361813
